방송일자,방송시간,채널구분,단순분,가중분,아이템분류1,아이템분류2,아이템분류3,아이템분류4,아이템분류5,브랜드,상품명,판매가,할인가,프로모션,상품ID,이미지URL,상세링크,MD분류
2026-01-01,00:37~01:38,전체,61,39,패션,여성의류,상의,니트,라운드,블루핏,"[론칭가79,000원→2만원↓] 블루핏 25FW 노르딕 니트풀오버",59000,59000,카드 5%,20066930,https://img.shinsegaetvshopping.com/goods/930/20066930_l_20251031094755.jpg,https://www.shinsegaetvshopping.com/display/detail/20066930,PB
2026-01-01,01:38~02:38,전체,60,2,패션,여성의류,아우터,재킷,우븐,에디티드,[25FW]  에디티드 Faux 스웨이드 무스탕 자켓,119000,119000,카드 5%,20068675,https://img.shinsegaetvshopping.com/goods/675/20068675_l_20251121101314.jpg,https://www.shinsegaetvshopping.com/display/detail/20068675,PB
2026-01-01,02:38~03:39,전체,61,1,생활용품,생활용품,생활잡화류,옷걸이/벽걸이,기타 옷걸이/벽걸이,이즈미,이즈미 프리미엄 보풀 제거기 IKL-810,84000,84000,카드 5%,20070341,https://img.shinsegaetvshopping.com/goods/341/20070341_s_20201106150257.jpg,https://www.shinsegaetvshopping.com/display/detail/20070341,생활용품
2026-01-01,03:39~04:19,전체,40,1,가전/디지털,주방가전,전기쿠커/포트,전기포트,티포트,보랄,(방송에서만 일시불 1만원) (특대용량 3L) 보랄 스마트 글라스 보온 포트 (BR-P30L),89000,89000,카드 5%,20062988,https://img.shinsegaetvshopping.com/goods/988/20062988_s_20241014143115.jpg,https://www.shinsegaetvshopping.com/display/detail/20062988,주방가전
2026-01-01,04:19~04:30,전체,11,1,가공식품,즉석/편의식품,즉석/조리식품,즉석국/탕/찌개류,기타 즉석국/탕/찌개류,하동관,하동관 한우암소곰탕 600g x 6팩,59900,59900,카드 5%,20067023,https://img.shinsegaetvshopping.com/goods/023/20067023_s_20250808152505.jpg,https://www.shinsegaetvshopping.com/display/detail/20067023,일반식품
2026-01-01,04:30~05:30,전체,60,2,패션,여성의류,아우터,베스트,다운/패딩,플리츠미,(최초! 2만원 인하) (신세계 단독) 25FW 플리츠미 퀼팅 패딩 베스트 (직),119000,119000,카드 5%,20068650,https://img.shinsegaetvshopping.com/goods/650/20068650_s_20251010135459.jpg,https://www.shinsegaetvshopping.com/display/detail/20068650,여성의류
2026-01-01,05:30~06:30,전체,60,49,가공식품,건강식품,기타 건강식품,기타 건강식품,기타 건강식품,HLB제약 알부민,"(방송에서만)[3박스]HLB제약 알부민 인텐시브 골드 329(30병 X 3박스, 총 90병)",169000,169000,카드 5%,20069257,https://img.shinsegaetvshopping.com/goods/257/20069257_s_20251028164602.jpg,https://www.shinsegaetvshopping.com/display/detail/20069257,건강식품
2026-01-01,06:30~07:31,전체,61,83,뷰티,기초화장품,기초케어,세트,기초세트,끌레드벨,"[방송중] 끌레드벨 콜라겐리프팅 기초세트 매니아 (스킨4,로션4,크림4,아이크림4 총16종)",129000,129000,카드 5%,20067409,https://img.shinsegaetvshopping.com/goods/409/20067409_s_20250811161500.jpg,https://www.shinsegaetvshopping.com/display/detail/20067409,뷰티
2026-01-01,07:31~08:31,전체,60,118,뷰티,기초화장품,기초케어,크림/젤,크림,톤28,최현우 패키지] 톤 28 해남 병풀 새벽크림 50g x 6통 +  펩타시카 토너 250ml x 2통,168000,168000,카드 5%,20069720,https://img.shinsegaetvshopping.com/goods/720/20069720_s_20251106121255.jpg,https://www.shinsegaetvshopping.com/display/detail/20069720,뷰티
2026-01-01,08:31~09:32,전체,61,122,가공식품,건강식품,기타 건강식품,기타 건강식품,기타 건강식품,리즐온,"(방송에서만 60병 더!) 이선민 알부민 골드 2+2, 총 4박스 (총 120병)",258000,258000,카드 5%,20070221,https://img.shinsegaetvshopping.com/goods/221/20070221_l_20251128165655.jpg,https://www.shinsegaetvshopping.com/display/detail/20070221,건강식품
