방송일자,방송시간,채널구분,단순분,가중분,아이템분류1,아이템분류2,아이템분류3,아이템분류4,아이템분류5,브랜드,상품명,판매가,할인가,프로모션,상품ID,이미지URL,상세링크,MD분류,회사,MD분류원본,편성구분명,MD명,비상품여부
2019-02-01,00:36~01:36,전체,60,33.0,일반식품,위수탁,,,,전철우,[전철우]도가니탕,60900,60900,,20039299,,https://www.skstoa.com/display/goods/20039299,일반식품,SK스토아,일반식품,[전철우]도가니탕,이자람,N
2019-02-01,01:36~02:36,전체,60,19.0,캐쥬얼남성,위수탁,,,,폴메이저,[폴메이저]프리미엄울코트(19),99000,99000,,20085343,,https://www.skstoa.com/display/goods/20085343,의류,SK스토아,캐쥬얼남성,[폴메이저]프리미엄울코트(19),김동균,N
2019-02-01,02:36~03:36,전체,60,12.0,생활가전,위수탁,,,,메디쉴드,[메디쉴드]목견인기,248000,248000,,20062258,,https://www.skstoa.com/display/goods/20062258,가전,SK스토아,생활가전,[메디쉴드]목견인기,김응도,N
2019-02-01,03:36~04:16,전체,40,0.0,기타,정액,,,,기타,정보방송,0,0,,20089655,,https://www.skstoa.com/display/goods/20089655,기타합계,SK스토아,기타,정보방송,편성,N
2019-02-01,04:16~04:36,전체,20,4.0,캐쥬얼남성,위수탁,,,,헤비추얼,[헤비추얼]헝가리구스다운(19),99000,99000,,20072331,,https://www.skstoa.com/display/goods/20072331,의류,SK스토아,캐쥬얼남성,[헤비추얼]헝가리구스다운(19),김동균,N
2019-02-01,04:36~05:36,전체,60,16.0,언더웨어,위수탁,,,,보디가드,[보디가드]프레지던트런닝드로즈,69900,69900,,20073887,,https://www.skstoa.com/display/goods/20073887,언더웨어,SK스토아,언더웨어,[보디가드]프레지던트런닝드로즈,김혜우(퇴사자),N
2019-02-01,05:36~06:36,전체,60,40.0,캐쥬얼남성,위수탁,,,,헤비추얼,[헤비추얼]히트데님팬츠(19),99000,99000,,20082931,,https://www.skstoa.com/display/goods/20082931,의류,SK스토아,캐쥬얼남성,[헤비추얼]히트데님팬츠(19),김동균,N
2019-02-01,06:36~07:36,전체,60,60.0,보험,정액,,,,라이나생명,[라이나생명]건강보험,0,0,,20088405,,https://www.skstoa.com/display/goods/20088405,보험,SK스토아,보험,[라이나생명]건강보험,송상수,N
2019-02-01,07:36~08:36,전체,60,69.0,여성의류,위수탁,,,,올리브그린,[올리브그린]웜기모본딩팬츠(19),39900,39900,,20088838,,https://www.skstoa.com/display/goods/20088838,의류,SK스토아,여성의류,[올리브그린]웜기모본딩팬츠(19),이린,N
2019-02-01,08:36~09:36,전체,60,74.0,건강식품,혼합수수료,,,,프로메가,[종근당건강]프로메가오메가3,99000,99000,,20084883,,https://www.skstoa.com/display/goods/20084883,건강식품,SK스토아,건강식품,[종근당건강]프로메가오메가3,김덕주,N
2019-02-01,09:36~10:36,전체,60,80.0,여성의류,위수탁,,,,마르조,[마르조]웜퀼팅패딩(19),39800,39800,,20092982,,https://www.skstoa.com/display/goods/20092982,의류,SK스토아,여성의류,[마르조]웜퀼팅패딩(19),안연진,N
2019-02-01,10:36~11:36,전체,60,85.0,일반식품,위수탁,,,,농협블랙라벨,[농협]블랙라벨사과,40900,40900,,20087293,,https://www.skstoa.com/display/goods/20087293,일반식품,SK스토아,일반식품,[농협]블랙라벨사과,허경진,N
2019-02-01,11:36~12:36,전체,60,52.0,레포츠,위수탁,,,,SnowCoast,[SnowCoast]스타일트래수트(19),39800,39800,,20092030,,https://www.skstoa.com/display/goods/20092030,레포츠,SK스토아,레포츠,[SnowCoast]스타일트래수트(19),진호민,N
